"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SPEC-01","P0","1","infra","Implement pmf-init.sh skeleton with CLI parsing and core utility functions","Create pmf-init.sh with shebang, set -euo pipefail guard, CLI arg parsing (--yes, --force-permissions), and core utility functions: log(level, message) with colored terminal output, prompt_user(message, default) with Y/n/s support, backup_file(path) with timestamp, refresh_path() with hash clearing and common path appending. Include phase banner display and main execution flow calling Phase 1-7 sequentially.","WHEN ./pmf-init.sh --help is run THEN usage info shows --yes and --force-permissions flags; WHEN log INFO/WARN/ERROR is called THEN colored output appears on terminal; WHEN prompt_user is called in --yes mode THEN it returns yes without prompting; WHEN prompt_user receives 's' THEN it returns skip_phase; WHEN refresh_path() is called THEN 'hash -r' clears cache and ~/.local/bin, ~/.cargo/bin, npm global bin are added to PATH if they exist; WHEN backup_file is called THEN target.bak.YYYYMMDDHHmmss is created; ref: pmf-init.sh:1","MANUAL","","","Verify log output colors are correct for INFO(green)/WARN(yellow)/ERROR(red); verify prompt_user handles Y/n/s/Enter correctly; verify refresh_path adds paths idempotently","Verify CLI parsing still works after changes; verify refresh_path does not duplicate PATH entries; verify backup_file does not overwrite existing backups","已完成","已完成","已完成","未提交","","pmf-init.sh:1; docs/superpowers/specs/2026-06-14-setup-script-design.md:36","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P0 foundation; done_at:2026-06-14; evidence:bash -n passes, --help shows correct flags, log uses GREEN/YELLOW/RED ANSI, prompt_user returns yes in YES_MODE, refresh_path uses hash -r + idempotent PATH append"
"SPEC-02","P0","1","infra","Implement detect_tool, install_tool, detect_skill, and retry_command functions","Implement detect_tool(name, command) returning FOUND_LATEST/FOUND_UPDATABLE/NOT_FOUND with version info. Implement detect_skill(name, paths[]) returning per-path FOUND/NOT_FOUND/UPDATABLE. Implement retry_command(command, retries=3) with 5s then 10s delays, recording FAIL after 3 failures. Implement install_tool(name, method) with Linux package manager auto-detection (apt/dnf/pacman) and platform dispatch (brew for macOS). Each install_tool success triggers refresh_path().","WHEN detect_tool is called for an installed tool THEN FOUND_LATEST or FOUND_UPDATABLE is returned with version string; WHEN detect_tool is called for missing tool THEN NOT_FOUND is returned; WHEN retry_command wraps a command that fails 3 times THEN it waits 5s after first failure, 10s after second, and records FAIL with reason after third; WHEN retry_command wraps a command that succeeds on retry 2 THEN SUCCESS is returned; WHEN install_tool is called on apt-based Linux THEN apt install is used; WHEN install_tool succeeds THEN refresh_path() is called; ref: pmf-init.sh:64","MANUAL","","","Verify retry_command actually waits correct intervals; verify detect_tool version parsing for each of 9 tools; verify Linux package manager detection covers apt/dnf/pacman","Verify retry delays unchanged; verify install_tool still calls refresh_path on success; verify detect_tool handles edge cases (missing --version output)","已完成","已完成","已完成","未提交","","pmf-init.sh:64; docs/superpowers/specs/2026-06-14-setup-script-design.md:62","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P0 dependency for all phases; done_at:2026-06-14; evidence:retry_command uses delays=(5 10), detect_tool returns FOUND_LATEST|version / NOT_FOUND, install_tool calls refresh_path on success, detect_os covers apt/dnf/pacman"
"SPEC-03","P0","2","infra","Implement Phase 1: base environment detection and installation for 9 tools","Implement four-tier dependency-ordered tool processing: Tier 1 (git), Tier 2 (python3+pip, node+npm/npx), Tier 3 (uv, depends on pip), Tier 4 (codex, claude, agy, depend on npm). For each tool: detect → prompt → install/skip. In --yes mode auto-install NOT_FOUND and auto-update FOUND_UPDATABLE. If node/npm detection fails and user skips, mark Tier 4 tools as BLOCKED(需要 npm). Use version detection commands from spec table (line 219). Use platform install methods from spec matrix (line 233).","WHEN Phase 1 runs with all tools installed THEN each shows correct version and FOUND_LATEST status; WHEN node/npm is missing and user chooses skip THEN codex, claude, agy are marked BLOCKED(需要 npm); WHEN --yes mode encounters FOUND_UPDATABLE THEN auto-update is performed; WHEN python3 version is below 3.10 THEN it is marked FOUND_UPDATABLE; WHEN node version is below 20 THEN it is marked FOUND_UPDATABLE; WHEN uv is installed via curl on Linux THEN the curl|sh pipeline is used with retry_command; ref: pmf-init.sh:202","MANUAL","","","Verify tier dependency logic blocks correctly; verify all 9 tool detection commands match spec; verify each platform install method matches spec matrix","Verify tier ordering unchanged; verify BLOCKED propagation still works; verify version thresholds (python ≥3.10, node ≥20) unchanged","已完成","已完成","已完成","未提交","","pmf-init.sh:202; docs/superpowers/specs/2026-06-14-setup-script-design.md:202","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P0 provides tool state for later phases; done_at:2026-06-14; evidence:4-tier processing in phase1_base_environment, BLOCKED propagation when npm_available=false, version thresholds 3.10/20 via detect_tool min_version param, curl|sh for uv on linux"
"SPEC-04","P1","2","infra","Implement Phase 2: Graphify CLI installation and multi-platform skill registration","Install graphifyy via 'uv tool install ""graphifyy[office,chinese]""'. If uv is missing, mark BLOCKED(需要 uv). After CLI install, for each installed platform tool (codex/agy/claude) run 'graphify install --platform <name>' using the correct platform identifiers: codex, antigravity, claude. Optionally offer 'graphify .' for project-level graph generation (auto in --yes mode). Handle graphify-out/ existing state per spec matrix (line 318).","WHEN uv is available and graphify not installed THEN 'uv tool install ""graphifyy[office,chinese]""' runs with retry_command; WHEN uv is missing THEN graphify is marked BLOCKED(需要 uv); WHEN codex is installed THEN 'graphify install --platform codex' runs; WHEN agy is installed THEN 'graphify install --platform antigravity' runs; WHEN claude is installed THEN 'graphify install --platform claude' runs; WHEN graphify-out/ does not exist in --yes mode THEN 'graphify .' runs automatically; ref: pmf-init.sh:259","MANUAL","","","Verify correct platform identifiers (antigravity not agy); verify uv dependency gate; verify graphify-out/ state detection","Verify platform registration commands unchanged; verify BLOCKED logic still works; verify --yes mode auto-generates graph","已完成","已完成","已完成","未提交","","pmf-init.sh:259; docs/superpowers/specs/2026-06-14-setup-script-design.md:259","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P1 memory layer; done_at:2026-06-14; evidence:phase2_graphify checks TOOL_STATE[uv], uses 'graphify install --platform antigravity' (not agy), graphify-out/ auto-generate in YES_MODE"
"SPEC-05","P1","2","infra","Implement Phase 3: Superpowers clone and per-platform installation","Clone https://github.com/obra/superpowers.git to ~/agent-tools/superpowers (or git pull if exists). Install per platform: AGY via 'agy plugin install ~/agent-tools/superpowers', Codex via 'cp -R skills/* ~/.codex/skills/' (skip existing dirs), Claude via 'cp -R skills/* ~/.agents/skills/' (skip existing dirs). In normal mode report remote updates without pulling; in --yes mode auto-pull and reinstall. Use git fetch + log HEAD..origin/main for update detection.","WHEN ~/agent-tools/superpowers does not exist THEN git clone succeeds with retry_command; WHEN AGY is installed THEN 'agy plugin install ~/agent-tools/superpowers' is run; WHEN Codex skill dir ~/.codex/skills/brainstorming/ already exists THEN it is skipped with SKIPPED log; WHEN --yes mode detects remote updates THEN git pull and reinstall are performed; WHEN normal mode detects remote updates THEN only a report note is logged; ref: pmf-init.sh:325","MANUAL","","","Verify git clone/pull uses retry_command; verify 'agy plugin install' path is correct; verify existing skill dirs are never overwritten","Verify clone URL unchanged; verify skip-existing logic intact; verify update detection (git fetch + log) still works","已完成","已完成","已完成","未提交","","pmf-init.sh:325; docs/superpowers/specs/2026-06-14-setup-script-design.md:325","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P1 method layer; done_at:2026-06-14; evidence:phase3_superpowers uses retry_command for git clone, agy plugin install path correct, skip-existing via -d check, git fetch + log HEAD..origin/main for update detection"
"SPEC-06","P1","2","infra","Implement Phase 4: Missions skill placement across three platforms","Clone https://github.com/flowing-water1/Missions.git to ~/agent-tools/Missions (or git pull if exists). Copy only mission* directories to each platform: AGY → ~/.gemini/config/skills/, Codex → ~/.codex/skills/, Claude → ~/.agents/skills/. Do NOT copy README.md, LICENSE, or other non-mission files. Skip existing mission dirs (no overwrite). Detect 6 directories: mission/, mission-doc-route/, mission-approved-doc/, mission-csv-execute/, mission-long-task/, mission-recovery/.","WHEN ~/agent-tools/Missions is cloned THEN exactly 6 mission* directories are identified for copy; WHEN copying to AGY THEN target is ~/.gemini/config/skills/mission*/; WHEN a mission-csv-execute/ already exists at target THEN it is skipped with SKIPPED log; WHEN README.md or LICENSE exist in repo THEN they are NOT copied; WHEN all 6 dirs are copied to a platform THEN detect_skill confirms FOUND for each; ref: pmf-init.sh:409","MANUAL","","","Verify only mission* glob matches are copied; verify all 3 target paths are correct; verify no README/LICENSE leaks","Verify 6 directory names unchanged; verify target paths unchanged; verify skip-existing logic intact","已完成","已完成","已完成","未提交","","pmf-init.sh:409; docs/superpowers/specs/2026-06-14-setup-script-design.md:409","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P1 execution layer; done_at:2026-06-14; evidence:phase4_missions uses explicit mission_dirs array (6 dirs), copies only from that list (no glob on repo root), skip-existing via -d check, 3 platform targets correct"
"SPEC-07","P0","2","infra","Implement Phase 5: Codex config.toml permission configuration with safety interaction","Read ~/.codex/config.toml (create if missing). Detect three keys: approval_policy (target: never), sandbox_mode (target: danger-full-access), [features].multi_agent (target: true). Display safety warning showing current→target values. In normal mode prompt with default N. In --yes mode still show one safety confirmation with default N. In --yes --force-permissions mode skip confirmation and apply. Before modification create backup as config.toml.bak.YYYYMMDDHHmmss. Update/append keys without overwriting other user config.","WHEN config.toml doesn't exist THEN it is created with target values (after confirmation); WHEN approval_policy is already 'never' THEN that key is skipped; WHEN user answers N to safety prompt THEN no changes are made to that key; WHEN --yes is set THEN safety warning still appears with default N; WHEN --yes --force-permissions is set THEN changes apply without prompt; WHEN config is modified THEN backup config.toml.bak.YYYYMMDDHHmmss exists; WHEN config has other user keys THEN they are preserved after modification; ref: pmf-init.sh:449","MANUAL","","","Verify safety warning text matches spec; verify default N behavior; verify backup is created before any write; verify TOML key update preserves other sections","Verify three target values unchanged; verify --force-permissions gate unchanged; verify backup naming format unchanged","已完成","已完成","已完成","未提交","","pmf-init.sh:449; docs/superpowers/specs/2026-06-14-setup-script-design.md:449","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P0 permission layer; done_at:2026-06-14; evidence:phase5_permissions shows safety warning, default N read, YES_MODE+FORCE_PERMISSIONS skips prompt, backup_file called before write, sed -i preserves other keys"
"SPEC-08","P1","2","infra","Implement Phase 6: project directory structure and AGENTS.md generation","Create directories: docs/superpowers/specs/, issues/, .mission/ (skip if exist, never clear). Generate AGENTS.md from default template in spec (line 518-543) covering tool roles, workflow routing, hard gates, and long-task completion definition. If AGENTS.md exists: normal mode shows three-way choice [1]覆盖 [2]追加 [3]跳过; --yes mode defaults to skip.","WHEN directories don't exist THEN docs/superpowers/specs/, issues/, .mission/ are created; WHEN directories already exist THEN they are not cleared or recreated; WHEN AGENTS.md doesn't exist THEN default template is generated with all sections from spec; WHEN AGENTS.md exists in normal mode THEN three-way prompt appears; WHEN user chooses append THEN existing content is preserved with new content appended; WHEN --yes mode with existing AGENTS.md THEN it is skipped; ref: pmf-init.sh:497","MANUAL","","","Verify AGENTS.md template matches spec exactly (tool roles, workflow routing, hard gates, completion definition sections); verify three-way choice works correctly","Verify directory list unchanged; verify template content unchanged; verify --yes default skip behavior intact","已完成","已完成","已完成","未提交","","pmf-init.sh:497; docs/superpowers/specs/2026-06-14-setup-script-design.md:497","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P1 project structure; done_at:2026-06-14; evidence:phase6_project_structure creates 3 dirs with mkdir -p, AGENTS.md template matches spec sections, three-way choice [1]覆盖 [2]追加 [3]跳过, --yes defaults to skip"
"SPEC-09","P0","3","infra","Implement Phase 7: validation table display and report file generation","Collect all component states from Phases 1-6. Render formatted terminal table with Layer/Component/Status/Version columns using box-drawing characters matching spec (line 552-591). Map statuses to symbols: OK→✅, UPDATE→⚠️, FAIL→❌, BLOCKED→🚫, SKIPPED→⏭️. Show summary line (N OK / N UPDATE / N FAIL / N BLOCKED). List updatable items with update commands. Generate pmf-init-report-YYYYMMDDHHmmss.md with platform info, mode, status table, updatable/failed/blocked/skipped sections, backup records, and next steps.","WHEN Phase 7 runs after all phases THEN terminal table displays all components with correct status symbols; WHEN report file is generated THEN filename is pmf-init-report-YYYYMMDDHHmmss.md in project root; WHEN components have mixed states THEN summary correctly counts each type; WHEN updatable items exist THEN they are listed with specific update commands; WHEN report is generated THEN it includes OS/arch/distro, execution mode, and all sections per spec template (line 633-663); ref: pmf-init.sh:549","MANUAL","","","Verify table formatting matches spec layout; verify all status symbols render correctly in terminal; verify report contains all required sections; verify summary counts are accurate","Verify status symbol mapping unchanged; verify report template sections unchanged; verify table column alignment intact","已完成","已完成","已完成","未提交","","pmf-init.sh:549; docs/superpowers/specs/2026-06-14-setup-script-design.md:549","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md; picked_reason:P0 validation layer; done_at:2026-06-14; evidence:phase7_validation renders box-drawing table, status_symbol maps all 5 statuses, summary counts all types, generate_report writes pmf-init-report-TIMESTAMP.md with OS/mode/all sections"
"SPEC-10","P0","4","infra","Implement pmf-init.ps1 with full feature parity to pmf-init.sh","Create PowerShell script pmf-init.ps1 implementing all 7 phases with identical logic to pmf-init.sh. CLI parameters: -Yes, -ForcePermissions. Refresh-Path reads PATH from Windows registry (Machine + User). Tool installation uses winget where applicable. All interaction patterns, retry logic, skip/block behavior, validation table, and report generation must match bash version exactly. Single file, no external module dependencies.","WHEN pmf-init.ps1 runs THEN all 7 phases execute in sequence; WHEN Refresh-Path is called THEN [Environment]::GetEnvironmentVariable reads Machine and User PATH from registry; WHEN -Yes is passed THEN all prompts are auto-accepted except permission changes; WHEN -Yes -ForcePermissions is passed THEN permission changes are also auto-accepted; WHEN git is missing on Windows THEN 'winget install Git.Git' is used; WHEN validation runs THEN identical table format and report file are generated; ref: pmf-init.ps1:1","MANUAL","","","Verify PowerShell parameter binding works for -Yes and -ForcePermissions; verify Refresh-Path registry reading; verify winget commands are correct; verify output matches bash version","Verify parameter names unchanged; verify registry PATH reading logic intact; verify feature parity with pmf-init.sh is maintained after any bash changes","未开始","未开始","未开始","未提交","","pmf-init.ps1:1; docs/superpowers/specs/2026-06-14-setup-script-design.md:116","source_doc:docs/superpowers/specs/2026-06-14-setup-script-design.md"
